Table of tested strings for a plus

+---------+------------------------------------------------------------+----------+-------+-------------------------+------------------------+--------------------------------------------------------------------------------------------------------------------+
| Machine |                        Input String                        |  Result  | Depth | Configurations Explored | Average Nondeterminism |                                                     Comments                                                       |
+---------+------------------------------------------------------------+----------+-------+-------------------------+------------------------+--------------------------------------------------------------------------------------------------------------------+
|  a plus |                             _                              | Rejected |   1   |            1            |          1.0           |                                   Testing empty string, should reject in one step                                  |
|  a plus |                             a                              | Accepted |   2   |            4            |          2.0           |                                                   Testing single a                                                 |
|  a plus |                             aa                             | Accepted |   3   |            7            |   2.3333333333333335   |     Testing multiple a's, the level of nondeterminism for each input from here on out should be less than 3        |
|  a plus |                            aaa                             | Accepted |   4   |            10           |          2.5           |                                                                                                                    |
|  a plus |                            aaaa                            | Accepted |   5   |            13           |          2.6           |                                                                                                                    |
|  a plus |                           aaaaa                            | Accepted |   6   |            16           |   2.6666666666666665   |                                                                                                                    |
|  a plus |                             b                              | Rejected |   1   |            1            |          1.0           |                                                        Reject                                                      |
|  a plus |                            aab                             | Rejected |   3   |            7            |   2.3333333333333335   |                                                                                                                    |
|  a plus |                          aaabbbbb                          | Rejected |   4   |            10           |          2.5           |                                                                                                                    |
|  a plus | aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa |  Halted  |   25  |            74           |          2.96          |                                                    Halting input                                                   |
|  a plus |  bbbbaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa  | Rejected |   1   |            1            |          1.0           |                                            Long string that rejects early                                          |
|  a plus |                        aaaaaaabbbb                         | Rejected |   8   |            22           |          2.75          |                                                                                                                    |
|  a plus |                         aaaaaaaaa                          | Accepted |   10  |            28           |          2.8           |                                                                                                                    |
|  a plus |                      abababababababab                      | Rejected |   2   |            4            |          2.0           |                                                                                                                    |
|  a plus |                   bbbbbbbaaaaaaaaaaaaaaa                   | Rejected |   1   |            1            |          1.0           |                                                                                                                    |
|  a plus |                     aaaaaaaaaaaaaaaaaa                     | Accepted |   19  |            55           |   2.8947368421052633   |                                                                                                                    |
|  a plus |                           Totals                           |   N/A    |   95  |           254           |   2.6736842105263157   | This machine has a lower level of non-determinism as it at most is at three possible configurations at each layer. |
+---------+------------------------------------------------------------+----------+-------+-------------------------+------------------------+--------------------------------------------------------------------------------------------------------------------+
