Table of tested strings for a*b*c* Deterministic

+----------------------+---------------------------------------------------+----------+-------+-------------------------+------------------------+--------------------------------------------------------------------------------------------------------------------------------------+
|       Machine        |                    Input String                   |  Result  | Depth | Configurations Explored | Average Nondeterminism |                                                               Comments                                                               |
+----------------------+---------------------------------------------------+----------+-------+-------------------------+------------------------+--------------------------------------------------------------------------------------------------------------------------------------+
| a*b*c* Deterministic |                         _                         | Accepted |   1   |            1            |          1.0           |                                                         Testing empty string                                                         |
| a*b*c* Deterministic |                         a                         | Accepted |   2   |            2            |          1.0           |                                                      Testing single characters                                                       |
| a*b*c* Deterministic |                         b                         | Accepted |   2   |            2            |          1.0           |                                                                                                                                      |
| a*b*c* Deterministic |                         c                         | Accepted |   2   |            2            |          1.0           |                                                                                                                                      |
| a*b*c* Deterministic |                         ab                        | Accepted |   3   |            3            |          1.0           |                                                     Testing multiple characters                                                      |
| a*b*c* Deterministic |                         ac                        | Accepted |   3   |            3            |          1.0           |                                                                                                                                      |
| a*b*c* Deterministic |                         bc                        | Accepted |   3   |            3            |          1.0           |                                                                                                                                      |
| a*b*c* Deterministic |                        abc                        | Accepted |   4   |            4            |          1.0           |                                                          Testing all three                                                           |
| a*b*c* Deterministic |                       aabbcc                      | Accepted |   7   |            7            |          1.0           |                                                        Testing longer strings                                                        |
| a*b*c* Deterministic |                         ba                        | Rejected |   2   |            2            |          1.0           |                                                           Rejected string                                                            |
| a*b*c* Deterministic |                         ca                        | Rejected |   2   |            2            |          1.0           |                                                                                                                                      |
| a*b*c* Deterministic |                         cb                        | Rejected |   2   |            2            |          1.0           |                                                                                                                                      |
| a*b*c* Deterministic |                bbbbbbbbbbbaaaaaaaaa               | Rejected |   12  |            12           |          1.0           |                                                                                                                                      |
| a*b*c* Deterministic |    aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa   |  Halted  |   25  |            25           |          1.0           |                                                        Long string that halts                                                        |
| a*b*c* Deterministic | baaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa | Rejected |   2   |            2            |          1.0           |                                                   Long string that rejects quickly                                                   |
| a*b*c* Deterministic |           aaaaaaabbbbbcbcbcbcbcbbabbabcb          | Rejected |   14  |            14           |          1.0           |                                                            Random strings                                                            |
| a*b*c* Deterministic |                  ababbababbababa                  | Rejected |   3   |            3            |          1.0           |                                                                                                                                      |
| a*b*c* Deterministic |                  aaaaaaaaaaaaccc                  | Accepted |   16  |            16           |          1.0           |                                                                                                                                      |
| a*b*c* Deterministic |                    ccbbbbbbaaa                    | Rejected |   3   |            3            |          1.0           |                                                                                                                                      |
| a*b*c* Deterministic |                       Totals                      |   N/A    |  108  |           108           |          1.0           | This is a deterministic machine so the determinism for each input should be 1 as there is only one configuration explored per layer. |
+----------------------+---------------------------------------------------+----------+-------+-------------------------+------------------------+--------------------------------------------------------------------------------------------------------------------------------------+
