Table of tested strings for a*b*c* Nondeterministic

+-------------------------+------------------------------------------------------------------+----------+-------+-------------------------+------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|         Machine         |                           Input String                           |  Result  | Depth | Configurations Explored | Average Nondeterminism |                                                                                           Comments                                                                                          |
+-------------------------+------------------------------------------------------------------+----------+-------+-------------------------+------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| a*b*c* Nondeterministic |                                _                                 | Accepted |   2   |            2            |          1.0           |                                                                                   Testing the empty string                                                                                  |
| a*b*c* Nondeterministic |                                a                                 | Accepted |   2   |            8            |          4.0           |                                                                                  Testing single characters                                                                                  |
| a*b*c* Nondeterministic |                                b                                 | Accepted |   2   |            6            |          3.0           |                                                                                             same                                                                                            |
| a*b*c* Nondeterministic |                                c                                 | Accepted |   2   |            4            |          2.0           |                                                                                             same                                                                                            |
| a*b*c* Nondeterministic |                                ab                                | Accepted |   3   |            18           |          6.0           |                                                                                 Testing multiple characters                                                                                 |
| a*b*c* Nondeterministic |                                ac                                | Accepted |   3   |            14           |   4.666666666666667    |                                                                                              bc                                                                                             |
| a*b*c* Nondeterministic |                                bc                                | Accepted |   3   |            9            |          3.0           |                                                                                             same                                                                                            |
| a*b*c* Nondeterministic |                                ba                                | Rejected |   2   |            6            |          3.0           |                                                                                        Testing reject                                                                                       |
| a*b*c* Nondeterministic |                                ca                                | Rejected |   2   |            4            |          2.0           |                                                                                             same                                                                                            |
| a*b*c* Nondeterministic |                                cb                                | Rejected |   2   |            4            |          2.0           |                                                                                             same                                                                                            |
| a*b*c* Nondeterministic |                               abc                                | Accepted |   4   |            24           |          6.0           |                                                                                 Testing all three characters                                                                                |
| a*b*c* Nondeterministic |                               abc                                | Accepted |   4   |            24           |          6.0           |                                                                                                                                                                                             |
| a*b*c* Nondeterministic |                              aabbcc                              | Accepted |   7   |            47           |   6.714285714285714    |                                                                                    Testing longer strings                                                                                   |
| a*b*c* Nondeterministic |             bbaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa             | Rejected |   3   |            11           |   3.6666666666666665   |                                                                              Long string, rejects very quickly                                                                              |
| a*b*c* Nondeterministic | aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa |  Halted  |   25  |           172           |          6.88          |                                                                                    Long string that halts                                                                                   |
| a*b*c* Nondeterministic |                        aaaaaabbbbbbbaaaaa                        | Rejected |   14  |           113           |   8.071428571428571    |                                                                                                                                                                                             |
| a*b*c* Nondeterministic |                      aaaaaaaaaacccccccccccc                      | Accepted |   23  |           143           |   6.217391304347826    |                                                                                                                                                                                             |
| a*b*c* Nondeterministic |                 aaaaaaaaaaaaaaabbbbbbbbbbbbbbbc                  |  Halted  |   25  |           200           |          8.0           |                                                                                                                                                                                             |
| a*b*c* Nondeterministic |                           aaaabbbbbbbb                           | Accepted |   13  |           109           |   8.384615384615385    |                                                                                                                                                                                             |
| a*b*c* Nondeterministic |                          aaccccccccccc                           | Accepted |   14  |            81           |   5.785714285714286    |                                                                                                                                                                                             |
| a*b*c* Nondeterministic |                            abcabcabc                             | Rejected |   4   |            24           |          6.0           |                                                                                                                                                                                             |
| a*b*c* Nondeterministic |                              Totals                              |   N/A    |  159  |           1023          |   6.433962264150943    | This is a very non-deterministic machine meaning it visits a lot of potential configurations at each step. The average configuration should be between 6 and 7 depending on strings tested. |
+-------------------------+------------------------------------------------------------------+----------+-------+-------------------------+------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
