Table of tested strings for {w | w has the same number of 0's and 1's} Deterministic

+----------------------------------------------------------+--------------+----------+-------+-------------------------+------------------------+------------------------------------------------------------------------------------------------------------------------------------------------+
|                         Machine                          | Input String |  Result  | Depth | Configurations Explored | Average Nondeterminism |                                                                    Comments                                                                    |
+----------------------------------------------------------+--------------+----------+-------+-------------------------+------------------------+------------------------------------------------------------------------------------------------------------------------------------------------+
| {w | w has the same number of 0's and 1's} Deterministic |      _       | Accepted |   1   |            1            |          1.0           |                                                              Testing empty srting                                                              |
| {w | w has the same number of 0's and 1's} Deterministic |      0       | Rejected |   2   |            2            |          1.0           |                                                           Testing single characters                                                            |
| {w | w has the same number of 0's and 1's} Deterministic |      1       | Rejected |   2   |            2            |          1.0           |                                                                                                                                                |
| {w | w has the same number of 0's and 1's} Deterministic |      01      | Accepted |   5   |            5            |          1.0           |                                                              Simple accept state                                                               |
| {w | w has the same number of 0's and 1's} Deterministic |      10      | Accepted |   5   |            5            |          1.0           |                                                                Flipped example                                                                 |
| {w | w has the same number of 0's and 1's} Deterministic |     1101     | Rejected |   9   |            9            |          1.0           |                                                             Testing longer strings                                                             |
| {w | w has the same number of 0's and 1's} Deterministic |     1111     | Rejected |   5   |            5            |          1.0           |                                                                                                                                                |
| {w | w has the same number of 0's and 1's} Deterministic |    110110    | Rejected |   21  |            21           |          1.0           |                                                                                                                                                |
| {w | w has the same number of 0's and 1's} Deterministic |   00100111   | Accepted |   49  |            49           |          1.0           |                                                                                                                                                |
| {w | w has the same number of 0's and 1's} Deterministic |    110100    | Accepted |   29  |            29           |          1.0           |                                                                                                                                                |
| {w | w has the same number of 0's and 1's} Deterministic |     1010     | Accepted |   13  |            13           |          1.0           |                                                                                                                                                |
| {w | w has the same number of 0's and 1's} Deterministic |    001010    | Rejected |   19  |            19           |          1.0           |                                                                                                                                                |
| {w | w has the same number of 0's and 1's} Deterministic |     1001     | Accepted |   13  |            13           |          1.0           |                                                                                                                                                |
| {w | w has the same number of 0's and 1's} Deterministic |    Totals    |   N/A    |  173  |           173           |          1.0           | This is a deterministic machine so its non-determinism should be 1 meaning it is only ever in one configuration for a given layer of the tree. |
+----------------------------------------------------------+--------------+----------+-------+-------------------------+------------------------+------------------------------------------------------------------------------------------------------------------------------------------------+
