Table of tested strings for {w | w has the same number of 0's and 1's} Nondeterministic

+-------------------------------------------------------------+----------------------------------------------------+----------+-------+-------------------------+------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                           Machine                           |                    Input String                    |  Result  | Depth | Configurations Explored | Average Nondeterminism |                                                                                                Comments                                                                                               |
+-------------------------------------------------------------+----------------------------------------------------+----------+-------+-------------------------+------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| {w | w has the same number of 0's and 1's} Nondeterministic |                         _                          | Accepted |   1   |            1            |          1.0           |                                                                                          Testing empty string                                                                                         |
| {w | w has the same number of 0's and 1's} Nondeterministic |                         0                          | Rejected |   2   |            2            |          1.0           |                                                                                       Testing single characters                                                                                       |
| {w | w has the same number of 0's and 1's} Nondeterministic |                         1                          | Rejected |   2   |            2            |          1.0           |                                                                                                                                                                                                       |
| {w | w has the same number of 0's and 1's} Nondeterministic |                         01                         | Accepted |   5   |            8            |          1.6           |                                                                                      Simple example of an accept                                                                                      |
| {w | w has the same number of 0's and 1's} Nondeterministic |                         10                         | Accepted |   5   |            8            |          1.6           |                                                                                            Flipped example                                                                                            |
| {w | w has the same number of 0's and 1's} Nondeterministic |                        1001                        | Accepted |   13  |            21           |   1.6153846153846154   |                                                                                         Testing longer strings                                                                                        |
| {w | w has the same number of 0's and 1's} Nondeterministic | 01010010101010101010101010101010101010101010101010 |  Halted  |   50  |            72           |          1.44          |                                                                                        Testing a halting string                                                                                       |
| {w | w has the same number of 0's and 1's} Nondeterministic |                       001011                       | Accepted |   29  |            42           |   1.4482758620689655   |                                                                                                                                                                                                       |
| {w | w has the same number of 0's and 1's} Nondeterministic |                       110100                       | Accepted |   29  |            42           |   1.4482758620689655   |                                                                                                                                                                                                       |
| {w | w has the same number of 0's and 1's} Nondeterministic |                    10001011101                     |  Halted  |   50  |            72           |          1.44          |                                                                                                                                                                                                       |
| {w | w has the same number of 0's and 1's} Nondeterministic |                  1101000111100100                  |  Halted  |   50  |            72           |          1.44          |                                                                                                                                                                                                       |
| {w | w has the same number of 0's and 1's} Nondeterministic |                      01011100                      | Accepted |   43  |            66           |   1.5348837209302326   |                                                                                                                                                                                                       |
| {w | w has the same number of 0's and 1's} Nondeterministic |                       Totals                       |   N/A    |  279  |           408           |   1.4623655913978495   | This is the least non-deterministic of the three NTMs tested as it is in at most two configurations in a single layer. It also takes longer to evaluate which it why I moved the halt depth up to 50. |
+-------------------------------------------------------------+----------------------------------------------------+----------+-------+-------------------------+------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
